Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Oihan Sancet\Oihan-Sancet,es ESP,FWMF,Athletic Club,21-004,2000,7.4,2,0,0,14,10,2,4,2,7,0,0,0,42,14,22,38.9,Matches
Juan Sánchez Miño\Juan-Sanchez-Mino,ar ARG,DFMF,Elche,31-118,1990,5.5,2,0,0,11,6,0,8,4,5,0,0,0,40,4,5,44.4,Matches
Germán Sánchez\German-Sanchez,es ESP,DF,Granada,34-180,1986,23.9,9,1,0,27,26,3,0,19,8,0,0,0,188,69,68,50.4,Matches
Javi Sánchez\Javi-Sanchez,es ESP,DF,Valladolid,24-046,1997,7.9,2,0,0,6,1,0,0,11,10,0,0,0,49,14,17,45.2,Matches
Manuel Sánchez\Manuel-Sanchez,es ESP,DF,Osasuna,20-248,2000,7.9,4,0,0,13,6,0,21,6,7,0,0,0,58,7,12,36.8,Matches
Manuel Sánchez\Manuel-Sanchez,es ESP,DF,Atlético Madrid,20-248,2000,0.5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,Matches
Oier Sanjurjo\Oier-Sanjurjo,es ESP,MF,Osasuna,34-339,1986,21.5,9,0,0,55,39,2,5,26,30,0,2,0,292,62,62,50,Matches
Ivan Šaponji?\Ivan-Saponjic,rs SRB,FW,Cádiz,23-270,1997,2,2,0,0,5,7,2,0,1,0,0,0,0,7,4,10,28.6,Matches
Stefan Savi?\Stefan-Savic,me MNE,DF,Atlético Madrid,30-111,1991,28.8,13,0,0,27,15,2,2,29,25,0,1,0,275,86,39,68.8,Matches
Jaime Seoane\Jaime-Seoane,es ESP,MF,Huesca,24-097,1997,19,4,0,0,33,25,1,13,13,33,0,1,0,170,24,20,54.5,Matches
Edgar Sevikyan\Edgar-Sevikyan,ru RUS,MF,Levante,19-264,2001,0.1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,,Matches
Sidnei\Sidnei,br BRA,DF,Betis,31-249,1989,7.7,1,0,0,7,8,0,0,10,4,0,0,0,78,19,20,48.7,Matches
David Silva\David-Silva,es ESP,MF,Real Sociedad,35-111,1986,12.8,4,0,0,22,15,0,11,14,11,0,1,0,109,11,22,33.3,Matches
Gastón Silva\Gaston-Silva,uy URU,DF,Huesca,27-055,1994,4.5,2,0,0,6,1,0,1,4,12,0,0,0,34,4,4,50,Matches
Rui Silva\Rui-Silva,pt POR,GK,Granada,27-081,1994,31,1,0,0,2,4,0,0,0,0,0,2,0,166,0,0,,Matches
Unai Simón\Unai-Simon,es ESP,GK,Athletic Club,23-322,1997,33,1,0,0,2,6,1,0,0,0,0,1,0,157,0,1,0,Matches
Dimitris Siovas\Dimitris-Siovas,gr GRE,DF,Huesca,32-225,1988,29.3,3,0,0,28,8,1,6,35,26,0,0,0,316,117,49,70.5,Matches
Rafa Soares\Rafa-Soares,pt POR,DF,Eibar,25-355,1995,11.2,2,0,0,7,3,1,40,15,16,0,0,0,120,16,16,50,Matches
Rubén Sobrino\Ruben-Sobrino,es ESP,MFFW,Valencia,28-332,1992,0.5,0,0,0,4,0,0,1,1,3,0,0,0,6,0,3,0,Matches
Rubén Sobrino\Ruben-Sobrino,es ESP,FWMF,Cádiz,28-332,1992,9.1,1,0,0,11,22,4,6,7,12,1,0,0,45,17,29,37,Matches
Augusto Solari\Augusto-Solari,ar ARG,MF,Celta Vigo,29-116,1992,3.5,1,0,0,14,2,0,14,4,6,0,0,0,28,10,9,52.6,Matches
Roberto Soldado\Roberto-Soldado,es ESP,FW,Granada,35-337,1985,14.7,5,0,0,22,13,18,15,5,6,0,0,0,66,26,71,26.8,Matches
Carlos Soler\Carlos-Soler,es ESP,MF,Valencia,24-117,1997,25.4,6,0,0,24,32,0,22,17,14,0,0,0,212,18,24,42.9,Matches
Son\Son,es ESP,DFMF,Levante,27-030,1994,11.2,3,0,0,11,12,0,37,15,11,0,0,0,94,13,12,52,Matches
David Soria\David-Soria,es ESP,GK,Getafe,28-025,1993,24,1,0,0,0,3,0,0,0,0,0,0,0,149,0,0,,Matches
Alberto Soro\Alberto-Soro,es ESP,FWMF,Granada,22-051,1999,2.8,0,0,0,10,7,3,4,2,3,0,0,0,27,5,6,45.5,Matches
Damián Suárez\Damian-Suarez,uy URU,DF,Getafe,33-002,1988,22.5,12,1,1,46,32,0,53,29,27,0,1,0,215,32,26,55.2,Matches
Denis Suárez\Denis-Suarez,es ESP,MF,Celta Vigo,27-113,1994,26.7,8,0,0,39,34,1,33,20,27,0,0,0,201,13,15,46.4,Matches
Luis Suárez\Luis-Suarez,uy URU,FW,Atlético Madrid,34-095,1987,23.1,5,0,0,20,35,24,12,5,4,2,0,0,70,21,30,41.2,Matches
Suso\Suso,es ESP,FW,Sevilla,27-161,1993,20.4,1,0,0,20,32,5,67,9,9,0,0,0,105,2,12,14.3,Matches
Tachi\Tachi,es ESP,DF,Alavés,23-231,1997,8.4,4,1,1,10,16,0,1,8,6,1,0,0,63,21,19,52.5,Matches
Renato Tapia\Renato-Tapia,pe PER,MF,Celta Vigo,25-275,1995,29.7,11,0,0,64,46,1,5,46,48,0,0,0,348,70,55,56,Matches
Tomás Tavares\Tomas-Tavares,pt POR,MFDF,Alavés,20-053,2001,0.7,0,0,0,1,0,0,2,1,1,0,0,0,4,1,2,33.3,Matches
Álvaro Tejero\Alvaro-Tejero,es ESP,DF,Eibar,24-283,1996,1.2,1,0,0,1,0,0,11,0,3,0,0,0,13,1,3,25,Matches
Cristian Tello\Cristian-Tello,es ESP,FWMF,Betis,29-261,1991,12.6,0,0,0,6,7,2,27,8,9,0,0,0,81,12,9,57.1,Matches
Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,Barcelona,28-364,1992,26,0,0,0,1,0,0,0,0,0,0,1,0,113,0,0,,Matches
David Timor\David-Timor,es ESP,MFDF,Getafe,31-194,1989,12.5,4,0,0,14,13,0,8,10,6,0,0,1,163,37,31,54.4,Matches
Toño\Tono,es ESP,DF,Levante,31-173,1989,6.4,2,0,0,9,9,1,15,4,4,0,0,0,43,5,8,38.5,Matches
Lucas Torreira\Lucas-Torreira,uy URU,MFFW,Atlético Madrid,25-077,1996,5.8,2,0,0,10,12,1,0,7,6,0,0,0,68,5,8,38.5,Matches
Óliver Torres\Oliver-Torres,es ESP,MFFW,Sevilla,26-170,1994,14.2,2,0,0,19,15,0,23,16,24,0,0,0,100,3,17,15,Matches
Pau Torres\Pau-Torres,es ESP,DF,Villarreal,24-103,1997,29,2,0,0,13,15,2,4,27,10,0,0,1,268,52,34,60.5,Matches
Roberto Torres\Roberto-Torres,es ESP,MFFW,Osasuna,32-053,1989,17.7,0,0,0,11,26,0,51,14,6,1,0,0,129,7,22,24.1,Matches
Lucas Torró\Lucas-Torro,es ESP,MF,Osasuna,26-284,1994,13.8,3,0,0,18,21,1,4,22,19,0,0,0,172,73,50,59.3,Matches
Manu Trigueros\Manu-Trigueros,es ESP,MF,Villarreal,29-194,1991,24.1,6,1,0,49,32,1,16,12,29,1,0,0,204,18,28,39.1,Matches
Francisco Trincão\Francisco-Trincao,pt POR,FWMF,Barcelona,21-121,1999,7,1,0,0,6,10,8,11,4,3,0,0,0,40,4,9,30.8,Matches
